timestamp_ms,timestamp_utc,open,high,low,close,volume_contracts,volume_base,volume_quote
1780129560000,2026-05-30 08:26:00,0.9433,0.9436,0.9427,0.9427,3714,3714,3503.2097
1780129620000,2026-05-30 08:27:00,0.9427,0.9428,0.9423,0.9423,522,522,491.9737
1780129680000,2026-05-30 08:28:00,0.9422,0.9434,0.9422,0.9434,2375,2375,2238.619
1780129740000,2026-05-30 08:29:00,0.9435,0.9439,0.9435,0.9437,3506,3506,3308.7148
1780129800000,2026-05-30 08:30:00,0.9436,0.9439,0.9436,0.9438,816,816,770.1337
1780129860000,2026-05-30 08:31:00,0.9439,0.9447,0.9437,0.9443,2489,2489,2349.8805
1780129920000,2026-05-30 08:32:00,0.9442,0.9442,0.9441,0.9441,4775,4775,4508.1629
1780129980000,2026-05-30 08:33:00,0.944,0.9443,0.9438,0.9438,1973,1973,1862.6494
1780130040000,2026-05-30 08:34:00,0.9437,0.9438,0.943,0.9433,3342,3342,3152.8183
1780130100000,2026-05-30 08:35:00,0.9433,0.9436,0.9431,0.9431,2937,2937,2771.1115
1780130160000,2026-05-30 08:36:00,0.9432,0.9439,0.9431,0.9439,1205,1205,1137.0104
1780130220000,2026-05-30 08:37:00,0.9439,0.9439,0.9435,0.9438,2644,2644,2495.146
1780130280000,2026-05-30 08:38:00,0.9438,0.9442,0.9435,0.9442,2805,2805,2646.8538
1780130340000,2026-05-30 08:39:00,0.9441,0.9442,0.9429,0.9429,2248,2248,2121.0569
1780130400000,2026-05-30 08:40:00,0.9429,0.9429,0.9424,0.9424,993,993,936.0351
1780130460000,2026-05-30 08:41:00,0.9424,0.9425,0.9405,0.9411,26027,26027,24499.875
1780130520000,2026-05-30 08:42:00,0.9411,0.9411,0.938,0.9408,81195,81195,76294.0176
1780130580000,2026-05-30 08:43:00,0.9407,0.9411,0.9407,0.9407,10427,10427,9809.1721
1780130640000,2026-05-30 08:44:00,0.9408,0.9415,0.9408,0.9414,8706,8706,8195.5289
1780130700000,2026-05-30 08:45:00,0.9413,0.9413,0.9405,0.9406,14725,14725,13850.881
1780130760000,2026-05-30 08:46:00,0.9407,0.9409,0.9407,0.9409,486,486,457.2033
1780130820000,2026-05-30 08:47:00,0.9408,0.9409,0.9389,0.94,22843,22843,21457.3507
1780130880000,2026-05-30 08:48:00,0.9401,0.941,0.9401,0.941,11497,11497,10815.9629
1780130940000,2026-05-30 08:49:00,0.941,0.9411,0.9408,0.9409,4699,4699,4421.4078
1780131000000,2026-05-30 08:50:00,0.9409,0.941,0.9408,0.941,1560,1560,1467.7455
1780131060000,2026-05-30 08:51:00,0.9409,0.9412,0.9406,0.9408,1627,1627,1530.7346
1780131120000,2026-05-30 08:52:00,0.9408,0.9408,0.9407,0.9407,31,31,29.1622
1780131180000,2026-05-30 08:53:00,0.9407,0.941,0.9407,0.941,305,305,286.9488
1780131240000,2026-05-30 08:54:00,0.941,0.9414,0.941,0.9412,11097,11097,10445.8686
1780131300000,2026-05-30 08:55:00,0.9411,0.9411,0.9405,0.9405,1184,1184,1113.9979
1780131360000,2026-05-30 08:56:00,0.9405,0.9405,0.9396,0.9401,20579,20579,19342.8312
1780131420000,2026-05-30 08:57:00,0.9401,0.9403,0.9401,0.9401,624,624,586.6683
1780131480000,2026-05-30 08:58:00,0.94,0.9401,0.9395,0.9396,17027,17027,15998.2775
1780131540000,2026-05-30 08:59:00,0.9395,0.9397,0.9391,0.9397,6015,6015,5649.7789
1780131600000,2026-05-30 09:00:00,0.9396,0.9397,0.9394,0.9397,3612,3612,3393.7557
1780131660000,2026-05-30 09:01:00,0.9398,0.9401,0.9391,0.9401,30081,30081,28272.1107
1780131720000,2026-05-30 09:02:00,0.9401,0.9405,0.9388,0.939,24454,24454,22981.3484
1780131780000,2026-05-30 09:03:00,0.9389,0.9389,0.9387,0.9388,20739,20739,19468.9834
1780131840000,2026-05-30 09:04:00,0.9388,0.9393,0.9381,0.9391,14591,14591,13693.7605
1780131900000,2026-05-30 09:05:00,0.939,0.939,0.9382,0.9382,10244,10244,9612.3297
1780131960000,2026-05-30 09:06:00,0.9383,0.9386,0.9381,0.9386,1491,1491,1398.9202
1780132020000,2026-05-30 09:07:00,0.9386,0.9389,0.9386,0.9389,850,850,797.9061
1780132080000,2026-05-30 09:08:00,0.9389,0.9408,0.9389,0.9408,4259,4259,4002.0319
1780132140000,2026-05-30 09:09:00,0.9406,0.941,0.9402,0.941,2704,2704,2543.268
1780132200000,2026-05-30 09:10:00,0.9411,0.9414,0.9408,0.9409,1867,1867,1756.8974
1780132260000,2026-05-30 09:11:00,0.9409,0.9409,0.9406,0.9408,2246,2246,2113.1496
1780132320000,2026-05-30 09:12:00,0.9407,0.9407,0.9404,0.9407,615,615,578.4474
1780132380000,2026-05-30 09:13:00,0.9407,0.9408,0.9406,0.9406,554,554,521.1365
1780132440000,2026-05-30 09:14:00,0.9405,0.9405,0.9404,0.9404,378,378,355.4959
1780132500000,2026-05-30 09:15:00,0.9404,0.9404,0.9404,0.9404,581,581,546.3724
1780132560000,2026-05-30 09:16:00,0.9403,0.9404,0.9402,0.9403,1294,1294,1216.6945
1780132620000,2026-05-30 09:17:00,0.9402,0.9402,0.9399,0.9399,270,270,253.8099
1780132680000,2026-05-30 09:18:00,0.9398,0.9399,0.9391,0.9392,11763,11763,11053.6995
1780132740000,2026-05-30 09:19:00,0.9392,0.9393,0.9383,0.9383,4496,4496,4222.3013
1780132800000,2026-05-30 09:20:00,0.9383,0.9402,0.9383,0.9401,5706,5706,5363.5562
1780132860000,2026-05-30 09:21:00,0.94,0.94,0.9395,0.94,3893,3893,3658.7092
1780132920000,2026-05-30 09:22:00,0.94,0.9401,0.9396,0.9396,1917,1917,1801.8164
1780132980000,2026-05-30 09:23:00,0.9396,0.9401,0.9396,0.9401,268,268,251.8805
1780133040000,2026-05-30 09:24:00,0.9401,0.9407,0.9401,0.9407,1143,1143,1074.8772
1780133100000,2026-05-30 09:25:00,0.9408,0.9411,0.9407,0.9411,1235,1235,1162.1041
1780133160000,2026-05-30 09:26:00,0.9411,0.9415,0.9411,0.9415,886,886,833.9324
1780133220000,2026-05-30 09:27:00,0.9414,0.9416,0.9413,0.9416,1400,1400,1318.182
1780133280000,2026-05-30 09:28:00,0.9416,0.9417,0.9416,0.9416,614,614,578.1687
1780133340000,2026-05-30 09:29:00,0.9415,0.9416,0.9415,0.9415,1249,1249,1175.934
