archive_date,count_long_short_ratio,count_toptrader_long_short_ratio,create_time,source,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio,symbol
2024-07-10,,,2024-07-10 00:00:00,binance_coin_m_archive,15955287.00000000,27502.80883866,2.12175962,,BTCUSD_PERP
2024-07-11,,,2024-07-11 00:00:00,binance_coin_m_archive,15857710.00000000,27475.40928167,2.02738589,,BTCUSD_PERP
2024-07-12,,,2024-07-12 00:00:00,binance_coin_m_archive,15997280.00000000,27914.85916304,1.03622148,,BTCUSD_PERP
2024-07-13,,,2024-07-13 00:00:00,binance_coin_m_archive,16001013.00000000,27648.20747284,0.43795076,,BTCUSD_PERP
2024-07-14,,,2024-07-14 00:00:00,binance_coin_m_archive,16207698.00000000,27377.22080897,1.41648028,,BTCUSD_PERP
2024-07-15,,,2024-07-15 00:00:00,binance_coin_m_archive,16270161.00000000,26769.84152717,0.41977568,,BTCUSD_PERP
2024-07-16,,,2024-07-16 00:00:00,binance_coin_m_archive,16265001.00000000,25119.96423127,1.99113462,,BTCUSD_PERP
2024-07-17,,,2024-07-17 00:00:00,binance_coin_m_archive,16255687.00000000,24989.52651806,0.82649082,,BTCUSD_PERP
2024-07-18,,,2024-07-18 00:00:00,binance_coin_m_archive,16343734.00000000,25514.75896091,0.73600476,,BTCUSD_PERP
2024-07-19,,,2024-07-19 00:00:00,binance_coin_m_archive,16210775.00000000,25345.25592638,3.34134615,,BTCUSD_PERP
2024-07-20,,,2024-07-20 00:00:00,binance_coin_m_archive,16762218.00000000,25145.16808339,2.97783298,,BTCUSD_PERP
2024-07-21,,,2024-07-21 00:00:00,binance_coin_m_archive,16890970.00000000,25152.92667055,0.65907829,,BTCUSD_PERP
2024-07-22,,,2024-07-22 00:00:00,binance_coin_m_archive,16919429.00000000,24816.65892517,1.68318238,,BTCUSD_PERP
2024-07-23,,,2024-07-23 00:00:00,binance_coin_m_archive,16479119.00000000,24398.39214356,1.26360373,,BTCUSD_PERP
2024-07-24,,,2024-07-24 00:00:00,binance_coin_m_archive,16304045.00000000,24730.52688740,0.61651613,,BTCUSD_PERP
2024-07-25,,,2024-07-25 00:00:00,binance_coin_m_archive,16308557.00000000,24953.99146218,0.27616045,,BTCUSD_PERP
2024-07-26,,,2024-07-26 00:00:00,binance_coin_m_archive,16631617.00000000,25287.98273798,2.34327273,,BTCUSD_PERP
2024-07-27,,,2024-07-27 00:00:00,binance_coin_m_archive,16597621.00000000,24446.26573954,8.63491272,,BTCUSD_PERP
2024-07-28,,,2024-07-28 00:00:00,binance_coin_m_archive,17039212.00000000,25107.52292812,0.36140874,,BTCUSD_PERP
2024-07-29,,,2024-07-29 00:00:00,binance_coin_m_archive,16932350.00000000,24813.98925944,3.02947250,,BTCUSD_PERP
2024-07-30,,,2024-07-30 00:00:00,binance_coin_m_archive,17303464.00000000,25924.05664987,0.68048574,,BTCUSD_PERP
2024-07-31,,,2024-07-31 00:00:00,binance_coin_m_archive,17146532.00000000,25923.19135941,0.14160738,,BTCUSD_PERP
2024-08-01,,,2024-08-01 00:00:00,binance_coin_m_archive,17005390.00000000,26331.95213894,1.05030633,,BTCUSD_PERP
2024-08-02,,,2024-08-02 00:00:00,binance_coin_m_archive,17074921.00000000,26151.20743784,1.22062362,,BTCUSD_PERP
2024-08-03,,,2024-08-03 00:00:00,binance_coin_m_archive,16815384.00000000,27392.06161485,1.65295815,,BTCUSD_PERP
2024-08-04,,,2024-08-04 00:00:00,binance_coin_m_archive,17133512.00000000,28246.04133661,0.17994534,,BTCUSD_PERP
2024-08-05,,,2024-08-05 00:00:00,binance_coin_m_archive,16437041.00000000,28279.89924763,1.27260143,,BTCUSD_PERP
