archive_date,count_long_short_ratio,count_toptrader_long_short_ratio,create_time,source,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio,symbol
2024-07-10,,,2024-07-10 00:00:00,binance_coin_m_archive,105997544.00000000,345837.35870776,1.35617971,,ETHUSD_PERP
2024-07-11,,,2024-07-11 00:00:00,binance_coin_m_archive,105221050.00000000,339395.54290586,0.48222797,,ETHUSD_PERP
2024-07-12,,,2024-07-12 00:00:00,binance_coin_m_archive,103947770.00000000,335575.18724174,0.30477690,,ETHUSD_PERP
2024-07-13,,,2024-07-13 00:00:00,binance_coin_m_archive,104325585.00000000,332968.16353887,0.25764921,,ETHUSD_PERP
2024-07-14,,,2024-07-14 00:00:00,binance_coin_m_archive,104626359.00000000,329530.80147779,2.15945200,,ETHUSD_PERP
2024-07-15,,,2024-07-15 00:00:00,binance_coin_m_archive,106329790.00000000,327740.44583694,0.28194155,,ETHUSD_PERP
2024-07-16,,,2024-07-16 00:00:00,binance_coin_m_archive,104291178.00000000,299337.96893825,1.58979818,,ETHUSD_PERP
2024-07-17,,,2024-07-17 00:00:00,binance_coin_m_archive,102382278.00000000,297266.87223442,0.41772782,,ETHUSD_PERP
2024-07-18,,,2024-07-18 00:00:00,binance_coin_m_archive,101059895.00000000,298447.20762863,0.51406985,,ETHUSD_PERP
2024-07-19,,,2024-07-19 00:00:00,binance_coin_m_archive,97445917.00000000,284464.74780855,1.58486003,,ETHUSD_PERP
2024-07-20,,,2024-07-20 00:00:00,binance_coin_m_archive,98455889.00000000,280981.19361970,2.28368499,,ETHUSD_PERP
2024-07-21,,,2024-07-21 00:00:00,binance_coin_m_archive,96057570.00000000,273110.39841691,0.33293846,,ETHUSD_PERP
2024-07-22,,,2024-07-22 00:00:00,binance_coin_m_archive,95213802.00000000,269325.40371740,0.74897816,,ETHUSD_PERP
2024-07-23,,,2024-07-23 00:00:00,binance_coin_m_archive,93664280.00000000,272366.32348880,0.47573275,,ETHUSD_PERP
